REF_DATE,GEO,DGUID,Components of population growth,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,"Les Îles-de-la-Madeleine, Quebec",2016A00032401,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059979338,53.3.1.1,3,,,,0
2021/2022,"Les Îles-de-la-Madeleine, Quebec",2016A00032401,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059979671,53.4.1.1,0,,,,0
2021/2022,"Les Îles-de-la-Madeleine, Quebec",2016A00032401,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059980004,53.5.1.1,0,,,,0
2021/2022,"Les Îles-de-la-Madeleine, Quebec",2016A00032401,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059980337,53.6.1.1,0,,,,0
2021/2022,"Les Îles-de-la-Madeleine, Quebec",2016A00032401,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059980670,53.7.1.1,-6,,,,0
2021/2022,"Les Îles-de-la-Madeleine, Quebec",2016A00032401,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059981003,53.8.1.1,168,,,,0
2021/2022,"Les Îles-de-la-Madeleine, Quebec",2016A00032401,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059981336,53.9.1.1,15,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Births,Both sexes,All ages,Persons,249,units,0,v1059982002,54.1.1.1,109,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Deaths,Both sexes,All ages,Persons,249,units,0,v1059982008,54.2.1.1,251,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059982341,54.3.1.1,2,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059982674,54.4.1.1,7,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059983007,54.5.1.1,5,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059983340,54.6.1.1,5,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059983673,54.7.1.1,29,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059984006,54.8.1.1,126,,,,0
2021/2022,"Le Rocher-Percé, Quebec",2016A00032402,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059984339,54.9.1.1,-21,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Births,Both sexes,All ages,Persons,249,units,0,v1059985005,55.1.1.1,149,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Deaths,Both sexes,All ages,Persons,249,units,0,v1059985011,55.2.1.1,201,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059985344,55.3.1.1,26,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059985677,55.4.1.1,7,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059986010,55.5.1.1,0,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059986343,55.6.1.1,5,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059986676,55.7.1.1,2,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059987009,55.8.1.1,30,,,,0
2021/2022,"La Côte-de-Gaspé, Quebec",2016A00032403,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059987342,55.9.1.1,-32,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Births,Both sexes,All ages,Persons,249,units,0,v1059988008,56.1.1.1,59,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Deaths,Both sexes,All ages,Persons,249,units,0,v1059988014,56.2.1.1,167,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059988347,56.3.1.1,9,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059988680,56.4.1.1,0,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059989013,56.5.1.1,0,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059989346,56.6.1.1,0,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059989679,56.7.1.1,5,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059990012,56.8.1.1,154,,,,0
2021/2022,"La Haute-Gaspésie, Quebec",2016A00032404,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059990345,56.9.1.1,-1,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Births,Both sexes,All ages,Persons,249,units,0,v1059991011,57.1.1.1,141,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Deaths,Both sexes,All ages,Persons,249,units,0,v1059991017,57.2.1.1,185,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059991350,57.3.1.1,6,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059991683,57.4.1.1,4,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059992016,57.5.1.1,0,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059992349,57.6.1.1,3,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059992682,57.7.1.1,19,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059993015,57.8.1.1,145,,,,0
2021/2022,"Bonaventure, Quebec",2016A00032405,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059993348,57.9.1.1,28,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Births,Both sexes,All ages,Persons,249,units,0,v1059994014,58.1.1.1,152,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Deaths,Both sexes,All ages,Persons,249,units,0,v1059994020,58.2.1.1,162,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059994353,58.3.1.1,4,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059994686,58.4.1.1,7,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059995019,58.5.1.1,0,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059995352,58.6.1.1,5,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059995685,58.7.1.1,-19,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059996018,58.8.1.1,126,,,,0
2021/2022,"Avignon, Quebec",2016A00032406,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059996351,58.9.1.1,0,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Births,Both sexes,All ages,Persons,249,units,0,v1059997017,59.1.1.1,127,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Deaths,Both sexes,All ages,Persons,249,units,0,v1059997023,59.2.1.1,232,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059997356,59.3.1.1,3,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059997689,59.4.1.1,0,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059998022,59.5.1.1,5,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059998355,59.6.1.1,0,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059998688,59.7.1.1,13,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059999021,59.8.1.1,205,,,,0
2021/2022,"La Matapédia, Quebec",2016A00032407,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059999354,59.9.1.1,22,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Births,Both sexes,All ages,Persons,249,units,0,v1060000020,60.1.1.1,127,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Deaths,Both sexes,All ages,Persons,249,units,0,v1060000026,60.2.1.1,267,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060000359,60.3.1.1,25,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060000692,60.4.1.1,0,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060001025,60.5.1.1,0,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060001358,60.6.1.1,0,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060001691,60.7.1.1,7,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060002024,60.8.1.1,323,,,,0
2021/2022,"Matane, Quebec",2016A00032408,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060002357,60.9.1.1,68,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Births,Both sexes,All ages,Persons,249,units,0,v1060003023,61.1.1.1,166,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Deaths,Both sexes,All ages,Persons,249,units,0,v1060003029,61.2.1.1,192,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060003362,61.3.1.1,6,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060003695,61.4.1.1,0,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060004028,61.5.1.1,0,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060004361,61.6.1.1,0,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060004694,61.7.1.1,3,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060005027,61.8.1.1,112,,,,0
2021/2022,"La Mitis, Quebec",2016A00032409,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060005360,61.9.1.1,36,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Births,Both sexes,All ages,Persons,249,units,0,v1060006026,62.1.1.1,505,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Deaths,Both sexes,All ages,Persons,249,units,0,v1060006032,62.2.1.1,567,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060006365,62.3.1.1,191,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060006698,62.4.1.1,29,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060007031,62.5.1.1,25,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060007364,62.6.1.1,21,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060007697,62.7.1.1,9,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060008030,62.8.1.1,39,,,,0
2021/2022,"Rimouski-Neigette, Quebec",2016A00032410,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060008363,62.9.1.1,227,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Births,Both sexes,All ages,Persons,249,units,0,v1060009029,63.1.1.1,78,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Deaths,Both sexes,All ages,Persons,249,units,0,v1060009035,63.2.1.1,131,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060009368,63.3.1.1,6,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060009701,63.4.1.1,0,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060010034,63.5.1.1,0,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060010367,63.6.1.1,0,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060010700,63.7.1.1,2,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060011033,63.8.1.1,165,,,,0
2021/2022,"Les Basques, Quebec",2016A00032411,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060011366,63.9.1.1,9,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Births,Both sexes,All ages,Persons,249,units,0,v1060012032,64.1.1.1,285,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Deaths,Both sexes,All ages,Persons,249,units,0,v1060012038,64.2.1.1,404,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060012371,64.3.1.1,88,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060012704,64.4.1.1,26,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060013037,64.5.1.1,10,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060013370,64.6.1.1,19,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060013703,64.7.1.1,33,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060014036,64.8.1.1,130,,,,0
2021/2022,"Rivière-du-Loup, Quebec",2016A00032412,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060014369,64.9.1.1,92,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Births,Both sexes,All ages,Persons,249,units,0,v1060015035,65.1.1.1,149,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Deaths,Both sexes,All ages,Persons,249,units,0,v1060015041,65.2.1.1,223,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060015374,65.3.1.1,8,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060015707,65.4.1.1,4,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060016040,65.5.1.1,0,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060016373,65.6.1.1,2,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060016706,65.7.1.1,3,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060017039,65.8.1.1,225,,,,0
2021/2022,"Témiscouata, Quebec",2016A00032413,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060017372,65.9.1.1,17,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Births,Both sexes,All ages,Persons,249,units,0,v1060018038,66.1.1.1,160,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Deaths,Both sexes,All ages,Persons,249,units,0,v1060018044,66.2.1.1,260,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060018377,66.3.1.1,31,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060018710,66.4.1.1,18,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060019043,66.5.1.1,0,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060019376,66.6.1.1,12,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060019709,66.7.1.1,-5,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060020042,66.8.1.1,101,,,,0
2021/2022,"Kamouraska, Quebec",2016A00032414,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060020375,66.9.1.1,30,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Births,Both sexes,All ages,Persons,249,units,0,v1060021041,67.1.1.1,123,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Deaths,Both sexes,All ages,Persons,249,units,0,v1060021047,67.2.1.1,171,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060021380,67.3.1.1,23,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060021713,67.4.1.1,0,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060022046,67.5.1.1,0,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060022379,67.6.1.1,0,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060022712,67.7.1.1,8,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060023045,67.8.1.1,192,,,,0
2021/2022,"Charlevoix-Est, Quebec",2016A00032415,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060023378,67.9.1.1,25,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Births,Both sexes,All ages,Persons,249,units,0,v1060024044,68.1.1.1,126,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Deaths,Both sexes,All ages,Persons,249,units,0,v1060024050,68.2.1.1,177,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060024383,68.3.1.1,29,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060024716,68.4.1.1,0,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060025049,68.5.1.1,5,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060025382,68.6.1.1,0,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060025715,68.7.1.1,8,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060026048,68.8.1.1,135,,,,0
2021/2022,"Charlevoix, Quebec",2016A00032416,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060026381,68.9.1.1,223,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Births,Both sexes,All ages,Persons,249,units,0,v1060027047,69.1.1.1,119,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Deaths,Both sexes,All ages,Persons,249,units,0,v1060027053,69.2.1.1,197,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060027386,69.3.1.1,18,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060027719,69.4.1.1,0,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060028052,69.5.1.1,0,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060028385,69.6.1.1,0,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060028718,69.7.1.1,15,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060029051,69.8.1.1,168,,,,0
2021/2022,"L'Islet, Quebec",2016A00032417,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060029384,69.9.1.1,-5,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Births,Both sexes,All ages,Persons,249,units,0,v1060030050,70.1.1.1,208,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Deaths,Both sexes,All ages,Persons,249,units,0,v1060030056,70.2.1.1,296,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060030389,70.3.1.1,30,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060030722,70.4.1.1,0,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060031055,70.5.1.1,5,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060031388,70.6.1.1,0,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060031721,70.7.1.1,5,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060032054,70.8.1.1,84,,,,0
2021/2022,"Montmagny, Quebec",2016A00032418,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060032387,70.9.1.1,44,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Births,Both sexes,All ages,Persons,249,units,0,v1060033053,71.1.1.1,437,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Deaths,Both sexes,All ages,Persons,249,units,0,v1060033059,71.2.1.1,344,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060033392,71.3.1.1,57,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060033725,71.4.1.1,5,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060034058,71.5.1.1,0,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060034391,71.6.1.1,4,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060034724,71.7.1.1,2,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060035057,71.8.1.1,88,,,,0
2021/2022,"Bellechasse, Quebec",2016A00032419,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060035390,71.9.1.1,74,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Births,Both sexes,All ages,Persons,249,units,0,v1060036056,72.1.1.1,58,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Deaths,Both sexes,All ages,Persons,249,units,0,v1060036062,72.2.1.1,59,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060036395,72.3.1.1,23,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060036728,72.4.1.1,7,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1060037061,72.5.1.1,0,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1060037394,72.6.1.1,5,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060037727,72.7.1.1,-12,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1060038060,72.8.1.1,-38,,,,0
2021/2022,"L'Île-d'Orléans, Quebec",2016A00032420,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1060038393,72.9.1.1,-44,,,,0
2021/2022,"La Côte-de-Beaupré, Quebec",2016A00032421,Births,Both sexes,All ages,Persons,249,units,0,v1060039059,73.1.1.1,297,,,,0
2021/2022,"La Côte-de-Beaupré, Quebec",2016A00032421,Deaths,Both sexes,All ages,Persons,249,units,0,v1060039065,73.2.1.1,284,,,,0
2021/2022,"La Côte-de-Beaupré, Quebec",2016A00032421,Immigrants,Both sexes,All ages,Persons,249,units,0,v1060039398,73.3.1.1,57,,,,0
2021/2022,"La Côte-de-Beaupré, Quebec",2016A00032421,Emigrants,Both sexes,All ages,Persons,249,units,0,v1060039731,73.4.1.1,7,,,,0
