REF_DATE,GEO,DGUID,Components of population growth,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,"Division No. 2, Newfoundland and Labrador",2016A00031002,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059831186,3.9.1.1,7,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Births,Both sexes,All ages,Persons,249,units,0,v1059831852,4.1.1.1,81,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Deaths,Both sexes,All ages,Persons,249,units,0,v1059831858,4.2.1.1,196,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059832191,4.3.1.1,5,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059832524,4.4.1.1,0,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059832857,4.5.1.1,0,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059833190,4.6.1.1,0,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059833523,4.7.1.1,107,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059833856,4.8.1.1,-105,,,,0
2021/2022,"Division No. 3, Newfoundland and Labrador",2016A00031003,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059834189,4.9.1.1,-9,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Births,Both sexes,All ages,Persons,249,units,0,v1059834855,5.1.1.1,98,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Deaths,Both sexes,All ages,Persons,249,units,0,v1059834861,5.2.1.1,278,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059835194,5.3.1.1,24,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059835527,5.4.1.1,0,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059835860,5.5.1.1,0,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059836193,5.6.1.1,0,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059836526,5.7.1.1,302,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059836859,5.8.1.1,-42,,,,0
2021/2022,"Division No. 4, Newfoundland and Labrador",2016A00031004,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059837192,5.9.1.1,31,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Births,Both sexes,All ages,Persons,249,units,0,v1059837858,6.1.1.1,300,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Deaths,Both sexes,All ages,Persons,249,units,0,v1059837864,6.2.1.1,569,,,,0
